Row Index,KOD,Year,Uviversity,Hünärler,Tölegli talyp sany,BŽ talyp sany
2,M,2022-2023,TDMal,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TDMal,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TDMal,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TDMal,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TDMal,Nebitgaz işi,0,0
7,M,2022-2023,TDMal,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TDMal,Ykdysadyýet ,0,0
9,M,2022-2023,TDMal,Maliýe menejmenti ,0,0
10,M,2022-2023,TDMal,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TDMal,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TDMal,Telekeçilik we maliýe,0,0
13,M,2022-2023,TDMal,Sanly diplomatiýa,0,0
14,M,2022-2023,TDMal,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TDMal,Gündogary öwreniş,0,0
16,M,2022-2023,TDMal,Halkara hususy hukugy,0,0
17,M,2022-2023,TDMal,Halkara jemagat hukugy,0,0
18,M,2022-2023,TDMal,Halkara ykdysadyýet,0,0
19,M,2022-2023,TDMal,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TDMal,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TDMal,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TDMal,Zootehniýa,0,0
23,M,2022-2023,TDMal,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TDMal,Medeniýeti öwreniş,0,0
25,M,2022-2023,TDMal,Bank menejmenti ,0,0
26,M,2022-2023,TDMal,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TDMal,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TDMal,Atçylyk,0,0
29,M,2022-2023,TDMal,Salgyt menejmenti ,0,0
30,M,2022-2023,TDMal,Milli ykdysadyýet ,0,0
1,M,2022-2023,TDBGI,Bilimi dolandyrmak,0,0
2,M,2022-2023,TDBGI,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TDBGI,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TDBGI,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TDBGI,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TDBGI,Nebitgaz işi,0,0
7,M,2022-2023,TDBGI,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TDBGI,Ykdysadyýet ,0,0
9,M,2022-2023,TDBGI,Maliýe menejmenti ,0,0
10,M,2022-2023,TDBGI,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TDBGI,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TDBGI,Telekeçilik we maliýe,0,0
13,M,2022-2023,TDBGI,Sanly diplomatiýa,0,0
14,M,2022-2023,TDBGI,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TDBGI,Gündogary öwreniş,0,0
16,M,2022-2023,TDBGI,Halkara hususy hukugy,0,0
17,M,2022-2023,TDBGI,Halkara jemagat hukugy,0,0
18,M,2022-2023,TDBGI,Halkara ykdysadyýet,0,0
19,M,2022-2023,TDBGI,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TDBGI,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TDBGI,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TDBGI,Zootehniýa,0,0
23,M,2022-2023,TDBGI,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TDBGI,Medeniýeti öwreniş,0,0
25,M,2022-2023,TDBGI,Bank menejmenti ,0,0
26,M,2022-2023,TDBGI,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TDBGI,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TDBGI,Atçylyk,0,0
29,M,2022-2023,TDBGI,Salgyt menejmenti ,0,0
30,M,2022-2023,TDBGI,Milli ykdysadyýet ,0,0
1,M,2022-2023,HGI,Bilimi dolandyrmak,0,0
2,M,2022-2023,HGI,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,HGI,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,HGI,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,HGI,Işewürlik-dolandyryş,0,0
6,M,2022-2023,HGI,Nebitgaz işi,0,0
7,M,2022-2023,HGI,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,HGI,Ykdysadyýet ,0,0
9,M,2022-2023,HGI,Maliýe menejmenti ,0,0
10,M,2022-2023,HGI,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,HGI,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,HGI,Telekeçilik we maliýe,0,0
13,M,2022-2023,HGI,Sanly diplomatiýa,12,0
14,M,2022-2023,HGI,Seljeriş we strategiki meýilleşdiriş,6,0
15,M,2022-2023,HGI,Gündogary öwreniş,6,0
16,M,2022-2023,HGI,Halkara hususy hukugy,12,0
17,M,2022-2023,HGI,Halkara jemagat hukugy,12,0
18,M,2022-2023,HGI,Halkara ykdysadyýet,0,0
19,M,2022-2023,HGI,Syýasy kommunikasiýa we internet žurnalistikasy,6,0
20,M,2022-2023,HGI,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,HGI,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,HGI,Zootehniýa,0,0
23,M,2022-2023,HGI,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,HGI,Medeniýeti öwreniş,0,0
25,M,2022-2023,HGI,Bank menejmenti ,0,0
26,M,2022-2023,HGI,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,HGI,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
