,University,Talyp sany,Year,Hünärler
0.0,TDEI,0.0,2011-2012,Bakalawr
0.0,SSTDMI,0.0,2011-2012,Bakalawr
0.0,HAA,0.0,2011-2012,Bakalawr
0.0,TDU,0.0,2011-2012,Magistr
0.0,HNGU,0.0,2011-2012,Magistr
0.0,HYYÖU,0.0,2011-2012,Magistr
0.0,TITU,0.0,2011-2012,Magistr
0.0,TOHU,0.0,2011-2012,Magistr
0.0,TMDDI,0.0,2011-2012,Magistr
0.0,TDMal,0.0,2011-2012,Magistr
0.0,TDBGI,0.0,2011-2012,Magistr
0.0,HGI,0.0,2011-2012,Magistr
0.0,TDYDI,0.0,2011-2012,Magistr
0.0,TTII,0.0,2011-2012,Magistr
0.0,TDLU,0.0,2011-2012,Magistr
0.0,TDBSI,0.0,2011-2012,Magistr
0.0,TDMI,0.0,2011-2012,Magistr
0.0,TMK,0.0,2011-2012,Magistr
0.0,TDÇA,0.0,2011-2012,Magistr
0.0,TITUKI,0.0,2011-2012,Magistr
0.0,TOHI,0.0,2011-2012,Magistr
0.0,TDEI,0.0,2011-2012,Magistr
0.0,SSTDMI,0.0,2011-2012,Magistr
0.0,HAA,0.0,2011-2012,Magistr
0.0,TDU,800.0,2012-2013,Hünärmen
0.0,HNGU,468.0,2012-2013,Hünärmen
0.0,HYYÖU,0.0,2012-2013,Hünärmen
0.0,TITU,0.0,2012-2013,Hünärmen
0.0,TOHU,510.0,2012-2013,Hünärmen
0.0,TMDDI,1219.0,2012-2013,Hünärmen
0.0,TDMal,180.0,2012-2013,Hünärmen
0.0,TDBGI,503.0,2012-2013,Hünärmen
0.0,HGI,280.0,2012-2013,Hünärmen
0.0,TDYDI,375.0,2012-2013,Hünärmen
0.0,TTII,1811.0,2012-2013,Hünärmen
0.0,TDLU,409.0,2012-2013,Hünärmen
0.0,TDBSI,285.0,2012-2013,Hünärmen
0.0,TDMI,160.0,2012-2013,Hünärmen
0.0,TMK,495.0,2012-2013,Hünärmen
0.0,TDÇA,353.0,2012-2013,Hünärmen
0.0,TITUKI,0.0,2012-2013,Hünärmen
0.0,TOHI,595.0,2012-2013,Hünärmen
0.0,TDEI,1084.0,2012-2013,Hünärmen
0.0,SSTDMI,968.0,2012-2013,Hünärmen
0.0,HAA,0.0,2012-2013,Hünärmen
0.0,TDU,0.0,2012-2013,Bakalawr
0.0,HNGU,0.0,2012-2013,Bakalawr
0.0,HYYÖU,0.0,2012-2013,Bakalawr
0.0,TITU,0.0,2012-2013,Bakalawr
0.0,TOHU,0.0,2012-2013,Bakalawr
0.0,TMDDI,0.0,2012-2013,Bakalawr
0.0,TDMal,0.0,2012-2013,Bakalawr
0.0,TDBGI,0.0,2012-2013,Bakalawr
0.0,HGI,0.0,2012-2013,Bakalawr
0.0,TDYDI,0.0,2012-2013,Bakalawr
0.0,TTII,0.0,2012-2013,Bakalawr
0.0,TDLU,0.0,2012-2013,Bakalawr
0.0,TDBSI,0.0,2012-2013,Bakalawr
0.0,TDMI,0.0,2012-2013,Bakalawr
0.0,TMK,0.0,2012-2013,Bakalawr
0.0,TDÇA,0.0,2012-2013,Bakalawr
0.0,TITUKI,0.0,2012-2013,Bakalawr
0.0,TOHI,0.0,2012-2013,Bakalawr
0.0,TDEI,0.0,2012-2013,Bakalawr
0.0,SSTDMI,0.0,2012-2013,Bakalawr
0.0,HAA,0.0,2012-2013,Bakalawr
0.0,TDU,0.0,2012-2013,Magistr
0.0,HNGU,0.0,2012-2013,Magistr
0.0,HYYÖU,0.0,2012-2013,Magistr
0.0,TITU,0.0,2012-2013,Magistr
0.0,TOHU,0.0,2012-2013,Magistr
0.0,TMDDI,0.0,2012-2013,Magistr
0.0,TDMal,0.0,2012-2013,Magistr
0.0,TDBGI,0.0,2012-2013,Magistr
0.0,HGI,0.0,2012-2013,Magistr
0.0,TDYDI,0.0,2012-2013,Magistr
0.0,TTII,0.0,2012-2013,Magistr
0.0,TDLU,0.0,2012-2013,Magistr
0.0,TDBSI,0.0,2012-2013,Magistr
0.0,TDMI,0.0,2012-2013,Magistr
0.0,TMK,0.0,2012-2013,Magistr
0.0,TDÇA,0.0,2012-2013,Magistr
0.0,TITUKI,0.0,2012-2013,Magistr
0.0,TOHI,0.0,2012-2013,Magistr
0.0,TDEI,0.0,2012-2013,Magistr
0.0,SSTDMI,0.0,2012-2013,Magistr
0.0,HAA,0.0,2012-2013,Magistr
0.0,TDU,958.0,2013-2014,Hünärmen
0.0,HNGU,407.0,2013-2014,Hünärmen
0.0,HYYÖU,0.0,2013-2014,Hünärmen
0.0,TITU,0.0,2013-2014,Hünärmen
0.0,TOHU,510.0,2013-2014,Hünärmen
0.0,TMDDI,1276.0,2013-2014,Hünärmen
0.0,TDMal,180.0,2013-2014,Hünärmen
0.0,TDBGI,538.0,2013-2014,Hünärmen
0.0,HGI,278.0,2013-2014,Hünärmen
0.0,TDYDI,420.0,2013-2014,Hünärmen
0.0,TTII,1846.0,2013-2014,Hünärmen
0.0,TDLU,450.0,2013-2014,Hünärmen
0.0,TDBSI,315.0,2013-2014,Hünärmen
0.0,TDMI,170.0,2013-2014,Hünärmen
0.0,TMK,536.0,2013-2014,Hünärmen
0.0,TDÇA,401.0,2013-2014,Hünärmen
0.0,TITUKI,0.0,2013-2014,Hünärmen
0.0,TOHI,812.0,2013-2014,Hünärmen
0.0,TDEI,1163.0,2013-2014,Hünärmen
0.0,SSTDMI,1053.0,2013-2014,Hünärmen
0.0,HAA,0.0,2013-2014,Hünärmen
0.0,TDU,0.0,2013-2014,Bakalawr
0.0,HNGU,0.0,2013-2014,Bakalawr
0.0,HYYÖU,0.0,2013-2014,Bakalawr
0.0,TITU,0.0,2013-2014,Bakalawr
0.0,TOHU,0.0,2013-2014,Bakalawr
0.0,TMDDI,0.0,2013-2014,Bakalawr
